symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,341603,30,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,341691,32,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,346826,52,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,369441,54,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,369466,62,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,371646,68,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,447549,77,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,447698,80,398.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,450006,88,398.0
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,2.8,178505,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,178505,1,374.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,182766,2,373.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,240783,9,373.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,292436,11,373.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,336536,25,373.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,363052,54,199.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,369304,64,199.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,444812,78,30.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.8,488214,81,30.0
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,4.6,3012145,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.6,3012145,1,551.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.6,3822861,3,548.0
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,5.0,55381,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,55381,1,325.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,59707,8,325.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,381656,22,294.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,458832,30,294.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,573869,47,294.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,5.0,696271,56,294.0
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,1.8,1627536,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.8,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.8,1627536,1,388.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.8,2548999,4,363.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,3.0,12564,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,12564,1,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,13504,2,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,13659,3,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,13673,9,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,13796,29,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,14013,31,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,14090,34,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,14149,36,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,14263,44,336.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,106875,51,337.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,146601,54,338.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,163027,55,338.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,459196,61,339.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,3425488,73,340.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.0,3427200,76,340.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,4.4,30662,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,4.4,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,4.4,30662,1,304.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,4.4,68596,2,282.0
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,3.4,0,0,
