Generation,Iterations,Configuration
548,902,uniform_asymmetric_wouter_30
549,902,uniform_asymmetric_wouter_30
550,902,uniform_asymmetric_wouter_30
551,902,uniform_asymmetric_wouter_30
552,902,uniform_asymmetric_wouter_30
553,902,uniform_asymmetric_wouter_30
554,896,uniform_asymmetric_wouter_30
555,896,uniform_asymmetric_wouter_30
556,896,uniform_asymmetric_wouter_30
557,896,uniform_asymmetric_wouter_30
558,701,uniform_asymmetric_wouter_30
559,701,uniform_asymmetric_wouter_30
560,701,uniform_asymmetric_wouter_30
561,705,uniform_asymmetric_wouter_30
562,705,uniform_asymmetric_wouter_30
563,705,uniform_asymmetric_wouter_30
564,692,uniform_asymmetric_wouter_30
565,692,uniform_asymmetric_wouter_30
566,692,uniform_asymmetric_wouter_30
567,692,uniform_asymmetric_wouter_30
568,692,uniform_asymmetric_wouter_30
569,676,uniform_asymmetric_wouter_30
570,676,uniform_asymmetric_wouter_30
571,676,uniform_asymmetric_wouter_30
572,676,uniform_asymmetric_wouter_30
573,676,uniform_asymmetric_wouter_30
574,676,uniform_asymmetric_wouter_30
575,676,uniform_asymmetric_wouter_30
576,676,uniform_asymmetric_wouter_30
577,676,uniform_asymmetric_wouter_30
578,676,uniform_asymmetric_wouter_30
579,676,uniform_asymmetric_wouter_30
580,676,uniform_asymmetric_wouter_30
581,679,uniform_asymmetric_wouter_30
582,679,uniform_asymmetric_wouter_30
583,679,uniform_asymmetric_wouter_30
584,679,uniform_asymmetric_wouter_30
585,681,uniform_asymmetric_wouter_30
586,681,uniform_asymmetric_wouter_30
587,681,uniform_asymmetric_wouter_30
588,681,uniform_asymmetric_wouter_30
589,681,uniform_asymmetric_wouter_30
590,681,uniform_asymmetric_wouter_30
591,681,uniform_asymmetric_wouter_30
592,681,uniform_asymmetric_wouter_30
593,659,uniform_asymmetric_wouter_30
594,659,uniform_asymmetric_wouter_30
595,665,uniform_asymmetric_wouter_30
596,682,uniform_asymmetric_wouter_30
597,658,uniform_asymmetric_wouter_30
598,809,uniform_asymmetric_wouter_30
599,1274,uniform_asymmetric_wouter_30
600,1274,uniform_asymmetric_wouter_30
601,1274,uniform_asymmetric_wouter_30
602,1274,uniform_asymmetric_wouter_30
603,1274,uniform_asymmetric_wouter_30
604,1274,uniform_asymmetric_wouter_30
605,1274,uniform_asymmetric_wouter_30
606,1274,uniform_asymmetric_wouter_30
