Generation,Iterations,Configuration
684,271,uniform_euclidean_wouter_20
685,271,uniform_euclidean_wouter_20
686,271,uniform_euclidean_wouter_20
687,279,uniform_euclidean_wouter_20
688,194,uniform_euclidean_wouter_20
689,194,uniform_euclidean_wouter_20
690,194,uniform_euclidean_wouter_20
691,312,uniform_euclidean_wouter_20
692,208,uniform_euclidean_wouter_20
693,209,uniform_euclidean_wouter_20
694,274,uniform_euclidean_wouter_20
695,274,uniform_euclidean_wouter_20
696,274,uniform_euclidean_wouter_20
697,274,uniform_euclidean_wouter_20
698,274,uniform_euclidean_wouter_20
699,339,uniform_euclidean_wouter_20
700,339,uniform_euclidean_wouter_20
701,339,uniform_euclidean_wouter_20
702,318,uniform_euclidean_wouter_20
703,318,uniform_euclidean_wouter_20
704,318,uniform_euclidean_wouter_20
705,318,uniform_euclidean_wouter_20
706,338,uniform_euclidean_wouter_20
707,338,uniform_euclidean_wouter_20
708,195,uniform_euclidean_wouter_20
709,195,uniform_euclidean_wouter_20
710,195,uniform_euclidean_wouter_20
711,195,uniform_euclidean_wouter_20
712,195,uniform_euclidean_wouter_20
713,195,uniform_euclidean_wouter_20
714,380,uniform_euclidean_wouter_20
715,380,uniform_euclidean_wouter_20
716,380,uniform_euclidean_wouter_20
717,347,uniform_euclidean_wouter_20
718,347,uniform_euclidean_wouter_20
719,291,uniform_euclidean_wouter_20
720,291,uniform_euclidean_wouter_20
721,291,uniform_euclidean_wouter_20
722,291,uniform_euclidean_wouter_20
723,289,uniform_euclidean_wouter_20
724,209,uniform_euclidean_wouter_20
725,266,uniform_euclidean_wouter_20
726,266,uniform_euclidean_wouter_20
727,266,uniform_euclidean_wouter_20
