generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
56,696271,696271,294.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.12105263157894737,13.453494231348673,1.0,23
1,1627536,1627536,388.0,../data/Continuation/lognormal_euclidean/city30_range1.8_swap.json,swap,euclidean,lognormal,30,1.8,0.059770114942528735,14.30257777263589,0.9999999999999999,26
4,2548999,2548999,363.0,../data/Continuation/lognormal_euclidean/city30_range1.8_swap.json,swap,euclidean,lognormal,30,1.8,0.059770114942528735,14.751211291047467,1.0,26
1,12564,12564,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.1,9.438590860658616,1.0,19
2,13504,13504,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.10526315789473684,9.510741216835813,1.0,20
3,13659,13659,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.11052631578947368,9.522153924002964,1.0,21
9,13673,13673,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.11578947368421053,9.523178364309155,1.0,22
29,13796,13796,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.12105263157894737,9.532133974056803,1.0,23
31,14013,14013,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.12631578947368421,9.54774074917029,1.0,24
34,14090,14090,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.13157894736842105,9.553220604892797,1.0,25
36,14149,14149,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.1368421052631579,9.557399229196022,1.0,26
44,14263,14263,336.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.14210526315789473,9.565424050523493,1.0,27
51,106875,106875,337.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.14736842105263157,11.579415206239071,1.0,28
54,146601,146601,338.0,../data/Continuation/lognormal_euclidean/city20_range3.0_wouter.json,inplace,euclidean,lognormal,20,3.0,0.15263157894736842,11.895469889693832,0.9999999999999998,29
